Case #1: Impossible
1 15 106959
1 16 45274
1 17 135034
1 18 61844
1 19 79861
1 20 66152
1 21 41126
1 22 48947
1 23 117859
1 24 49609
1 25 70771
1 28 99039
1 29 77314
1 30 71486
1 32 30199
1 34 55944
1 35 102282
1 37 94449
1 38 95852
1 39 92668
1 41 121137
1 42 104838
2 4 102071
2 5 98529
2 6 118891
2 7 58847
2 8 47437
2 9 87086
2 10 87438
2 12 126581
2 13 130686
2 14 122745
2 15 136515
2 16 74830
2 17 164590
2 18 91400
2 19 119688
2 20 26325
2 22 78503
2 23 117353
2 25 100327
2 26 17670
2 28 138866
2 29 117141
2 31 57149
2 34 95771
2 36 116929
2 37 124005
2 38 120000
2 39 110830
2 42 125895
2 43 63457
3 4 102592
3 5 62190
3 6 85847
3 7 22508
3 8 11098
3 9 54042
3 10 54394
3 11 93095
3 12 90242
3 13 97642
3 14 89701
3 15 103471
3 16 41786
3 18 58356
3 19 83349
3 20 62664
3 21 37638
3 23 121347
3 24 46121
3 25 67283
3 26 54009
3 27 43469
3 28 102527
3 29 80802
3 30 74974
3 31 20810
3 33 30990
3 34 59432
3 35 105770
3 36 90057
3 37 90961
3 38 92364
3 39 93833
3 40 68258
3 41 124625
3 42 108326
4 5 124550
4 6 127613
4 7 82407
4 10 96160
4 12 108195
4 13 139408
4 14 131467
4 15 145237
4 16 83552
4 17 73621
4 18 100122
4 19 108646
4 20 109311
4 21 79404
4 22 87225
4 23 205785
4 24 148713
4 25 109049
4 26 106975
4 27 85235
4 29 111193
4 30 106250
4 31 123402
4 32 92443
4 33 128929
4 34 121792
4 35 191081
4 36 14858
4 37 132727
4 38 59316
4 39 8759
4 40 36657
4 41 139155
4 42 121442
4 43 72179
5 6 139106
5 7 77722
5 8 73288
5 9 107301
5 10 74141
5 11 65965
5 12 29783
5 13 150901
5 15 156730
5 16 86749
5 17 167101
5 18 111615
5 20 124854
5 21 90897
5 22 98718
5 23 176561
5 24 78338
5 25 120542
5 26 116199
5 27 96728
5 31 76658
5 32 88901
5 33 58807
5 34 2758
5 39 133309
5 40 123472
5 43 92603
6 7 108355
6 8 74749
6 10 64965
6 11 103666
6 12 168889
6 13 108213
6 14 100272
6 15 114042
6 16 52357
6 17 142117
6 18 68927
6 20 92566
6 21 48209
6 22 40388
6 23 207194
6 25 62212
6 27 54040
6 29 120494
6 30 149869
6 31 106657
6 33 100660
6 37 101532
6 39 118854
6 40 146752
6 41 141824
6 43 55434
7 8 33606
7 9 76550
7 10 76902
7 12 67734
7 13 120150
7 15 125979
7 16 64294
7 17 138510
7 18 80864
7 19 98881
7 20 85172
7 21 60146
7 22 67967
7 24 68629
7 25 89791
7 27 65977
7 28 118059
7 30 90506
7 31 43318
7 32 49219
7 33 46522
7 35 121302
7 37 113469
7 38 114872
7 41 140157
7 42 123858
7 43 52921
8 9 42944
8 11 81997
8 12 101340
8 14 78603
8 15 92373
8 16 30688
8 20 56447
8 21 26540
8 22 34361
8 23 132445
8 24 57219
8 27 32371
8 28 113625
8 29 91900
8 30 86072
8 31 31908
8 33 42088
8 35 116868
8 36 88834
8 37 79863
8 38 81266
8 41 120155
8 42 119424
8 43 19315
9 10 33160
9 11 71861
9 12 136598
9 14 35659
9 15 66600
9 16 20552
9 17 77504
9 18 4314
9 19 91236
9 20 60761
9 21 16404
9 22 24225
9 23 167933
9 24 88043
9 25 27376
9 26 104756
9 27 10573
9 28 140849
9 29 88689
9 30 101514
9 31 62732
9 32 80753
9 35 152356
9 38 71130
9 39 87049
9 40 114947
9 41 98357
9 42 116213
9 43 23629
10 11 38701
10 12 103924
10 13 76760
10 15 82589
10 16 12608
10 17 110664
10 19 58076
10 20 61113
10 21 16756
10 22 24577
10 23 175741
10 25 46401
10 26 105108
10 28 152863
10 30 84904
10 31 75204
10 32 81105
10 33 85384
10 34 76899
10 35 160164
10 37 70079
10 38 37970
10 39 87401
10 40 115299
10 41 99352
10 42 83053
10 43 23981
11 12 95748
11 13 115461
11 14 107520
11 15 121290
11 17 133668
11 18 76175
11 19 48599
11 20 99814
11 21 55457
11 23 147200
11 24 139216
11 26 103061
11 28 190793
11 29 51146
11 30 47665
11 31 113905
11 32 119806
11 33 119256
11 34 63207
11 35 162777
11 36 74905
11 37 108780
11 38 731
11 40 96704
11 42 78670
11 43 62682
12 14 142952
12 15 186513
12 18 132284
12 20 152906
12 21 120680
12 22 128501
12 23 204613
12 25 150325
12 26 144251
12 27 126511
12 28 108679
12 30 48083
12 31 73866
12 32 116953
12 33 88590
12 36 123053
12 37 114897
12 38 95017
12 39 116954
12 40 113484
12 41 92218
12 42 75919
12 43 120655
13 14 96147
13 16 64152
13 17 153912
13 18 80722
13 20 104361
13 21 60004
13 23 218989
13 24 143763
13 25 89649
13 26 148356
13 30 161664
13 32 124353
13 33 128632
13 34 153659
13 35 203412
13 36 136748
13 37 113327
13 38 114730
13 39 130649
13 40 158547
13 41 153619
13 42 159813
13 43 67229
14 15 102259
14 16 56211
14 17 113163
14 18 39973
14 21 52063
14 22 59884
14 23 132274
14 24 123702
14 25 63035
14 26 140415
14 27 46232
14 28 176508
14 29 124348
14 30 131469
14 31 98391
14 36 128807
14 38 106789
14 39 122708
14 40 150606
14 41 134016
14 42 151872
14 43 59288
15 16 69981
15 17 144104
15 18 62286
15 19 140665
15 21 65833
15 22 73654
15 23 224818
15 24 146015
15 25 93976
15 26 154185
15 28 190278
15 29 138118
15 30 167493
15 31 120704
15 32 130182
15 33 134461
15 34 159488
15 35 209241
15 36 142577
15 37 107494
15 38 120559
15 39 136478
15 40 121612
15 41 147786
15 42 165642
15 43 73058
16 17 98056
16 18 24866
16 19 70684
16 20 48505
16 21 4148
16 22 11969
16 23 163133
16 26 92500
16 27 9979
16 28 140255
16 29 68137
16 31 62596
16 32 68497
16 33 72776
16 35 147556
16 36 80892
16 37 57471
16 38 50578
16 39 74793
16 41 97763
16 43 11373
17 18 81818
17 19 168740
17 20 138265
17 21 93908
17 22 101729
17 24 88763
17 25 104880
17 26 163078
17 27 88077
17 28 148887
17 29 166193
17 30 179018
17 32 158257
17 33 129688
17 35 229860
17 36 70961
17 37 135569
17 38 132937
17 39 64862
17 40 92760
17 41 175861
17 42 177545
17 43 101133
18 19 95550
18 20 65075
18 21 20718
18 22 28539
18 23 172247
18 24 83729
18 25 31690
18 27 14887
18 28 143853
18 29 93003
18 31 58418
18 32 85067
18 33 89346
18 34 114373
18 36 97462
18 37 62379
18 38 75444
18 40 119261
18 41 102671
19 20 119189
19 21 74832
19 23 161559
19 24 99497
19 27 80663
19 28 151503
19 29 2547
19 31 97817
19 33 79966
19 34 23917
19 36 123504
19 37 81568
19 38 49330
19 39 117405
19 40 114856
19 41 41276
19 42 30071
19 43 82057
20 21 44357
20 22 52178
20 23 143678
20 24 108785
20 25 74002
20 26 43995
20 27 50188
20 28 165191
20 29 116642
20 31 83474
20 32 35953
20 34 122096
20 35 128101
20 39 100552
20 40 128450
20 43 37132
21 22 7821
21 24 83759
21 28 136107
21 29 72285
21 30 101660
21 31 58448
21 32 64349
21 33 68628
21 34 93655
21 35 143408
21 37 53323
21 38 54726
21 39 70645
21 41 93615
21 42 99809
21 43 7225
22 24 91580
22 25 21824
22 26 96173
22 27 13652
22 29 80106
22 30 109481
22 32 72170
22 34 101476
22 35 151229
22 36 84565
22 37 61144
22 38 62547
22 39 78466
22 40 106364
22 42 107630
22 43 15046
23 24 167468
23 26 99683
23 27 164816
23 28 216898
23 29 164106
23 31 142157
23 33 145361
23 34 173803
23 35 15577
23 36 203998
23 37 160575
23 38 146469
23 39 197899
23 40 182629
23 41 120283
23 43 151760
24 25 113404
24 26 100130
24 27 89590
24 29 96950
24 30 96638
24 31 25311
24 32 72832
24 33 40925
24 35 151891
24 36 136178
24 37 137082
24 38 138485
24 40 114379
24 43 76534
25 26 117997
25 27 35476
25 28 165752
25 29 101930
25 30 128890
25 31 88093
25 32 93994
25 33 98273
25 34 123300
25 36 106389
25 37 82968
25 38 84371
25 40 128188
25 42 129454
26 27 94183
26 28 156536
26 29 134811
26 30 128983
26 31 74819
26 32 27298
26 33 84999
26 34 113441
26 35 84106
26 37 141675
26 38 102330
26 40 122267
26 41 132241
26 42 143565
27 28 130276
27 30 107491
27 31 64279
27 33 74459
27 34 99486
27 35 149239
27 36 82575
27 38 60557
27 40 104374
27 41 87784
27 42 105640
27 43 13056
28 29 148956
28 30 143128
28 35 201321
28 36 185608
28 37 82784
28 38 190062
28 39 191707
28 40 163809
28 41 123076
28 43 132940
29 30 36912
29 33 77419
29 35 179596
29 36 126051
29 37 84115
29 38 51877
29 40 112309
29 41 43823
29 42 27524
29 43 79510
30 31 94958
30 32 101685
30 33 71591
30 34 15542
30 35 173768
30 37 121027
30 38 46934
30 39 115009
30 40 136256
30 41 80735
30 42 64436
30 43 105387
31 32 47521
31 33 51800
31 34 79416
31 35 126580
31 36 110867
31 37 111771
31 38 113174
31 39 114643
31 40 89068
31 41 139093
31 42 122794
31 43 51223
32 33 57701
32 34 86143
32 36 107301
32 37 117672
32 38 119075
32 39 101202
32 40 94969
32 43 57124
33 35 129784
33 37 121951
33 38 118525
33 39 120170
33 40 92272
33 41 121242
33 42 104943
33 43 61403
34 35 158226
34 36 136650
34 37 105485
34 40 120714
34 42 48894
35 36 188421
35 37 176152
35 38 162046
35 39 182322
35 41 135860
35 42 207120
35 43 136183
36 37 130067
36 40 21799
36 41 154013
36 43 69519
37 38 108049
37 39 123968
37 40 151866
37 41 40292
37 42 111639
37 43 60548
38 39 68075
38 40 95973
38 41 79839
38 42 79401
38 43 61951
39 40 27898
39 41 147914
39 43 63420
40 42 84785
40 43 91318
41 42 71347
41 43 100840
42 43 101438
Case #90: 189
1 10 130230
1 11 141542
1 20 228721
1 26 335862
1 29 218847
1 47 135595
2 5 192635
2 18 263572
2 27 390612
3 10 207025
3 16 214928
4 7 292823
4 14 237531
4 22 141867
4 28 303578
4 33 248092
4 34 393541
4 36 107664
4 37 272981
4 43 397070
4 46 131922
5 12 249766
5 13 315157
5 26 344236
5 28 265000
5 31 141454
5 34 373227
5 39 346799
6 20 216123
6 24 341131
6 35 84747
6 43 298776
6 47 253480
7 8 292508
7 9 292131
7 11 200713
7 12 253198
7 23 263432
7 24 391309
7 27 452222
7 30 270491
7 32 327448
7 33 252319
7 34 237580
7 39 431764
7 42 265177
8 11 212075
8 21 151935
8 26 307956
8 46 418634
9 10 200386
9 18 231083
9 19 264063
9 20 212300
9 21 151558
9 23 227117
9 38 282953
9 41 354967
10 25 178831
10 27 271305
11 12 165126
11 34 288587
11 37 227247
11 40 297230
11 44 68668
12 18 238231
12 37 287805
12 40 337505
12 43 149668
12 47 166818
13 14 40184
13 15 65284
13 16 262084
13 19 4381
13 28 208731
13 39 40404
13 43 295229
14 15 96706
14 17 396612
14 20 87566
14 28 240153
14 38 348870
14 39 220
14 42 326403
14 44 298400
15 17 421712
15 27 196073
15 29 166576
15 30 253581
15 32 291968
15 33 279903
15 35 262923
15 45 224391
16 24 300899
16 40 250428
16 43 236745
17 26 235695
17 30 447791
17 32 391459
17 37 385220
17 46 488756
18 21 215717
18 24 332064
18 25 44525
18 32 278883
18 34 307629
18 37 303247
18 42 220041
18 43 259508
18 46 376180
19 22 244785
19 25 205891
19 31 251842
19 34 397587
19 39 36023
19 43 290848
20 22 193022
20 23 237092
20 25 154128
20 31 200079
20 32 301108
20 44 243041
21 23 122859
21 25 219175
21 29 300249
21 32 186875
21 39 291191
21 40 317980
22 24 274713
22 27 301266
22 31 75463
22 33 143567
23 28 243079
23 31 119533
23 32 220562
23 35 183033
23 42 1745
23 46 317859
24 30 145092
24 32 336423
24 37 28817
24 40 246264
25 30 231497
25 33 311855
25 36 174589
25 39 241914
25 42 254607
26 27 363810
26 28 79236
26 44 190928
26 47 357230
27 31 225803
27 36 267063
27 47 498213
28 34 281880
28 36 195914
28 46 432350
29 30 311159
29 33 167461
29 36 295318
29 46 351129
30 36 103902
30 41 351897
30 47 330164
31 38 143745
31 39 239324
32 34 428166
34 36 304141
34 41 408009
34 42 353051
35 37 324937
35 38 207245
35 40 273144
35 42 184778
35 47 214165
36 39 246605
36 43 306879
37 40 217447
38 41 339145
38 45 214776
39 46 294878
39 47 417688
40 47 284024
41 42 328013
41 46 470108
43 44 325825
44 45 196513
45 46 258585
45 47 221599
Case #91: Impossible
Case #92: Impossible
Case #93: Impossible
Case #94: 232
1 4 257146
1 5 232767
1 7 177038
1 9 260628
1 11 184390
1 16 292089
1 18 274938
1 22 176908
1 24 210545
1 27 199343
1 30 232425
1 37 288648
1 38 188029
1 41 282189
2 9 142520
2 13 319784
2 18 154437
2 20 150112
2 21 166883
2 32 212045
2 33 55559
2 42 105697
3 6 212597
3 7 191596
3 11 190595
3 12 169488
3 14 229656
3 18 157392
3 21 41644
3 22 236714
3 24 231711
3 28 246941
3 30 246983
3 39 212889
3 41 241144
4 11 186664
4 15 110197
4 19 344551
4 20 104743
4 25 194111
4 29 200290
4 40 118564
5 6 89811
5 12 251199
5 19 333253
5 22 193608
5 24 52164
5 26 231724
5 27 189597
5 31 184851
5 32 159314
5 39 181980
5 40 126630
5 42 219616
6 7 21001
6 8 147042
6 17 273277
6 22 145799
6 24 141975
6 25 63024
6 27 141788
6 28 245677
6 29 47109
6 42 193586
7 10 114310
7 12 261740
7 17 260419
7 21 149952
7 26 196805
7 27 120787
7 42 172585
8 10 132611
8 16 244445
8 19 338412
8 24 109021
8 25 187972
8 26 70539
8 30 137815
8 32 195638
8 35 15051
8 39 90199
9 16 197212
9 23 130892
9 24 130629
9 30 159423
9 33 170762
9 35 106063
9 37 149494
9 43 216057
10 17 261827
10 21 208717
10 24 151238
10 25 72287
10 27 184275
10 29 143410
10 34 197198
10 35 147662
10 41 184634
10 43 134789
11 14 39061
11 15 93572
11 17 101009
11 33 260275
11 36 184580
11 38 155493
11 42 126336
12 17 258928
12 19 401255
12 22 261610
12 24 199035
12 25 277986
12 32 260872
12 36 199276
12 38 271413
12 43 284463
13 16 401389
13 18 346571
13 23 322865
13 25 243202
13 26 359625
13 27 273897
13 28 429498
13 30 321974
13 36 282206
13 37 266305
13 40 355595
14 17 140070
14 18 123867
14 27 145385
14 28 233575
14 33 222844
14 34 206892
14 36 145519
14 42 165397
15 16 188527
15 17 194581
15 20 133258
15 21 209632
15 23 52193
15 24 4963
15 25 83914
15 27 155722
15 31 164685
15 32 112113
15 34 167801
15 35 119109
15 36 91008
15 39 124853
15 41 156081
16 23 149078
16 25 158187
16 26 173906
16 30 255597
16 34 283098
16 39 309019
16 41 339420
17 18 202714
17 33 159991
17 38 234321
18 19 362343
18 22 192006
18 23 121549
18 24 74319
18 29 183369
18 32 181469
19 24 297950
19 28 421980
19 30 319830
19 37 376053
19 39 400822
19 41 369594
20 25 217172
20 27 146541
20 40 202761
20 42 44415
21 22 274750
21 35 229227
21 38 207788
21 40 279135
21 41 268394
22 28 282335
22 35 183716
22 39 136509
22 42 172455
23 28 235893
23 35 171302
23 38 114114
23 41 208274
23 43 167923
24 27 160685
24 34 162838
24 36 95971
24 37 167503
24 41 161044
25 27 162810
25 38 34451
26 29 222913
26 30 208354
26 32 236075
26 34 241334
26 37 198425
26 38 223583
27 30 176174
27 39 141863
27 40 176367
28 32 305948
28 33 285604
28 34 311207
29 31 183804
29 36 110127
29 38 36672
29 41 127322
30 31 187266
30 35 152866
30 36 117851
30 41 189838
30 42 196246
31 34 144514
31 35 47705
31 36 73677
32 41 218057
32 42 203422
33 34 257052
33 39 265493
33 42 133939
33 43 185252
34 39 266692
34 40 237304
35 41 136478
35 43 156996
38 40 146844
38 43 133860
Case #95: 231
1 2 246336
1 3 40345
1 4 168628
1 5 71268
1 6 65786
1 7 153776
1 8 147663
1 9 94296
1 10 273182
1 11 102449
1 12 73604
1 13 93305
1 14 109560
1 15 14060
1 16 239683
1 17 69170
1 18 143981
1 19 118217
1 20 77483
1 21 159497
1 22 118470
1 23 160371
2 5 236914
2 6 230642
2 7 215453
2 8 200477
2 9 152040
2 10 158940
2 11 258444
2 12 268985
2 13 258951
2 14 227742
2 15 232276
2 16 56745
2 17 234816
2 18 262163
2 19 236399
2 20 272864
2 21 168507
2 23 276937
3 4 128283
3 5 30923
3 6 25441
3 7 113431
3 8 107318
3 9 53951
3 10 285407
3 11 114674
3 12 85829
3 13 52960
3 14 113575
3 15 26285
3 16 199338
3 17 28825
3 18 147996
3 19 122232
3 21 119152
3 22 122485
3 23 120026
4 5 101556
4 6 153724
4 7 227282
4 9 182234
4 10 266892
4 11 151625
4 12 143276
4 14 131626
4 15 154568
4 16 164697
4 17 99458
4 18 166047
4 19 140283
4 20 147155
4 21 180336
4 22 140536
4 23 190659
5 6 56364
5 7 135175
5 8 80591
5 9 84874
5 10 302186
5 11 145597
5 12 116752
5 14 139600
5 15 57208
5 16 199991
5 18 174021
5 19 148257
5 20 120631
5 21 88229
5 22 130690
5 23 93299
6 7 87990
6 8 132759
6 9 79392
6 11 118836
6 12 111270
6 13 78401
6 14 88134
6 15 51726
6 16 173897
6 17 54266
6 18 122555
6 19 96791
6 20 115149
6 21 134936
6 22 97044
7 8 211984
7 10 260903
7 11 132025
7 12 199260
7 13 161408
7 14 101323
7 15 139716
7 17 137273
7 18 135744
7 20 203139
7 21 46946
7 22 92413
7 23 198365
8 10 245927
8 11 130660
8 12 164241
8 13 102628
8 14 110661
8 15 133603
8 16 143732
8 17 78493
8 18 145082
8 21 168820
8 22 119571
8 23 169694
9 10 310980
9 11 168625
9 12 116945
9 13 106911
9 14 167526
9 15 80236
9 16 208785
9 17 82776
9 18 201947
9 19 176183
9 20 120824
9 21 173103
9 22 176436
9 23 173977
10 11 244548
10 12 315129
10 13 327213
10 16 102195
10 17 304284
10 18 248267
10 19 222503
10 20 319008
10 21 213957
10 22 222756
10 23 328708
11 12 114671
11 13 144069
11 14 30702
11 15 88389
11 16 264311
11 17 143499
11 18 47809
11 19 22045
11 20 118550
11 21 174333
11 22 39612
11 23 145564
12 13 138789
12 14 101283
12 15 59544
12 18 118390
12 19 92626
12 20 3879
12 21 185160
12 22 110193
12 23 205855
13 14 113367
13 15 79245
13 16 226224
13 17 24135
13 18 147788
13 19 122024
13 20 142668
13 21 114462
13 22 104457
13 23 67066
14 15 95500
14 16 233609
14 17 137502
14 18 34421
14 19 8657
14 20 105162
14 21 148269
14 22 8910
14 23 114862
15 16 225623
15 17 55110
15 18 129921
15 19 104157
15 20 63423
15 21 145437
15 22 104410
16 17 202089
16 18 268030
16 19 242266
16 20 289046
16 21 111762
16 22 242519
17 18 171923
17 19 146159
17 20 118533
17 21 90327
17 22 128592
17 23 91201
18 19 25764
18 20 122269
18 21 178052
18 22 43331
18 23 149283
19 20 96505
19 21 152288
19 22 17567
19 23 123519
20 21 189039
20 22 114072
20 23 209734
21 22 139359
21 23 181528
22 23 105952
Case #96: Impossible
Case #97: 829
1 2 62446
1 3 54479
1 4 13732
1 5 42693
1 6 41371
1 7 60113
1 8 35914
1 9 35228
1 10 113732
1 11 91362
1 12 107913
1 13 76408
1 14 31918
1 15 26659
1 16 93705
1 17 58977
1 18 104520
1 19 102318
1 20 65456
1 21 126342
1 22 91840
1 24 101266
1 25 85517
1 26 73443
1 27 94974
1 28 71629
1 29 53353
1 30 77292
1 31 81370
1 32 30863
1 33 101495
1 34 32245
1 35 109751
1 36 43569
1 37 132244
1 38 160612
1 39 85586
1 40 58738
1 41 48584
1 42 60163
2 3 69976
2 4 48714
2 5 19753
2 6 21075
2 7 75610
2 8 34524
2 9 39205
2 10 109104
2 11 70762
2 12 98942
2 13 67437
2 14 30528
2 15 61641
2 16 106622
2 17 74474
2 18 137804
2 19 80698
2 20 127902
2 21 73930
2 22 92560
2 23 78612
2 24 72875
2 25 82476
2 26 70402
2 28 72349
2 29 68850
2 30 56996
2 31 79980
2 32 31583
2 33 39049
2 34 47742
2 35 125248
2 36 44289
2 37 137004
2 39 97430
2 40 88588
2 41 95428
2 42 95145
3 4 52267
3 5 50223
3 6 51545
3 7 5634
3 8 64994
3 9 30771
3 11 81351
3 12 86421
3 13 54916
3 14 60998
3 15 65194
3 16 129536
3 17 4498
3 18 129938
3 19 92307
3 20 119935
3 21 116331
3 22 97922
3 23 101732
3 24 76502
3 25 64025
3 26 51951
3 27 40495
3 29 43342
3 30 87466
3 31 102894
3 32 62053
3 33 83304
3 34 22234
3 35 55272
3 36 56098
3 37 148613
3 38 168142
3 39 75575
3 40 97273
3 42 98698
4 5 28961
4 6 27639
4 7 57901
4 8 22182
4 9 21496
4 10 100000
4 11 78838
4 12 94181
4 13 62676
4 14 18186
4 15 12927
4 16 94280
4 17 56765
4 18 104179
4 19 100106
4 20 79188
4 21 122644
4 22 78108
4 23 75471
4 24 87534
4 25 71785
4 26 59711
4 27 83795
4 29 51141
4 30 63560
4 31 67638
4 32 17131
4 33 87763
4 34 30033
4 35 107539
4 36 29837
4 37 118512
4 38 146880
4 39 83374
4 40 45006
4 41 62316
4 42 46431
5 6 1322
5 7 55857
5 8 14771
5 9 19452
5 10 94699
5 11 51009
5 12 88880
5 13 57375
5 14 10775
5 15 41888
5 16 86869
5 17 54721
5 18 118051
5 19 98062
5 20 108149
5 21 93683
5 22 72807
5 23 58859
5 24 82233
5 25 66484
5 26 54410
5 27 76384
5 28 52596
5 29 49097
5 30 37243
5 31 60227
5 32 11830
5 33 58802
5 34 27989
5 35 105495
5 36 24536
5 37 147473
5 38 117919
5 39 81330
5 40 68835
5 41 75675
5 42 75392
6 7 57179
6 8 13449
6 9 20774
6 10 93377
6 11 51199
6 12 87558
6 13 56053
6 14 9453
6 15 40566
6 16 85547
6 17 56043
6 18 116729
6 19 99384
6 20 106827
6 21 95005
6 22 71485
6 23 60181
6 24 80911
6 25 65162
6 26 53088
6 28 51274
6 29 50419
6 30 35921
6 31 58905
6 32 10508
6 33 60124
6 34 29311
6 35 106817
6 36 23214
6 37 146151
6 38 119241
6 39 82652
6 40 67513
6 41 76997
6 42 74070
7 8 70493
7 9 36405
7 10 81664
7 11 86985
7 12 83059
7 13 51554
7 14 66497
7 15 70828
7 16 126174
7 17 1136
7 18 126576
7 19 97941
7 21 114823
7 22 103556
7 23 98370
7 24 73140
7 25 60663
7 26 48589
7 27 37133
7 28 80796
7 29 48976
7 30 93100
7 31 99532
7 32 65442
7 33 79942
7 34 27868
7 35 51910
7 36 52736
7 37 154247
7 38 173776
7 39 81209
7 40 102907
7 41 22090
7 42 104332
8 9 34223
8 10 87920
8 11 64648
8 12 82101
8 13 50596
8 14 3996
8 15 35109
8 16 72098
8 17 69357
8 18 111272
8 19 112833
8 20 101370
8 21 108454
8 22 66028
8 23 63391
8 24 75454
8 26 47631
8 27 69605
8 28 45817
8 29 63868
8 30 49370
8 31 45456
8 33 73573
8 34 42760
8 35 120131
8 36 17757
8 38 132690
8 39 96101
8 40 62056
8 41 74130
8 42 68613
9 10 106801
9 11 67654
9 12 108332
9 13 76827
9 14 30227
9 15 34423
9 16 106321
9 17 35269
9 18 125675
9 19 78610
9 20 100684
9 21 102634
9 22 92259
9 23 78311
9 24 101685
9 26 73862
9 27 71266
9 28 72048
9 29 29645
9 30 56695
9 31 79679
9 32 31282
9 33 78254
9 34 8537
9 35 86043
9 36 43988
9 37 134916
9 38 137371
9 39 61878
9 40 66502
9 41 56223
9 42 67927
10 11 144576
10 12 114518
10 13 83013
10 14 83924
10 15 112927
10 16 160018
10 18 115661
10 19 168337
10 20 114736
10 21 146282
10 22 21892
10 23 141209
10 24 140017
10 25 92122
10 26 80048
10 27 104010
10 28 123635
10 29 119372
10 30 129298
10 31 133376
10 32 82869
10 33 111401
10 34 98264
10 35 40995
10 36 95575
10 37 218512
10 38 207270
10 39 151605
10 40 141984
10 41 101482
10 42 146431
11 12 118496
11 13 107252
11 14 60652
11 15 80153
11 16 136746
11 17 85849
11 18 167928
11 19 122359
11 20 156818
11 21 61813
11 22 122684
11 23 109868
11 24 94317
11 25 116361
11 26 104287
11 27 58310
11 28 102473
11 29 80225
11 30 87120
11 31 110104
11 32 61707
11 33 96694
11 34 59117
11 35 121325
11 36 74413
11 37 178665
11 38 168928
11 39 112458
11 40 48074
11 41 106803
11 42 113657
12 13 31505
12 14 78105
12 15 90859
12 16 144392
12 17 81923
12 18 140622
12 19 155320
12 20 73908
12 21 94774
12 22 136410
12 23 135390
12 24 96193
12 25 46544
12 26 34470
12 27 60186
12 28 117816
12 29 129763
12 30 123479
12 31 117750
12 32 77050
12 33 59893
12 34 108655
12 35 123201
12 36 89756
12 38 197108
12 39 161996
12 40 122938
12 41 60969
12 42 124363
13 14 46600
13 15 59354
13 16 112887
13 17 50418
13 18 109117
13 19 123815
13 20 105413
13 21 63269
13 22 104905
13 23 103885
13 24 109202
13 25 15039
13 26 2965
13 27 86415
13 28 86311
13 29 98258
13 30 91974
13 31 86245
13 33 28388
13 34 77150
13 35 101192
13 36 58251
13 37 164939
13 38 165603
13 39 130491
13 40 91433
13 41 29464
13 42 92858
14 15 31113
14 16 76094
14 17 65361
14 18 107276
14 19 108837
14 20 97374
14 21 104458
14 22 62032
14 23 59395
14 24 71458
14 25 55709
14 26 43635
14 27 65609
14 28 41821
14 29 59872
14 30 45374
14 31 49452
14 32 1055
14 33 69577
14 34 38764
14 35 116135
14 36 13761
14 37 136698
14 38 128694
14 39 92105
14 40 58060
14 41 70134
14 42 64617
15 16 107207
15 17 69692
15 18 91252
15 19 113033
15 20 92115
15 21 122623
15 22 91035
15 23 88398
15 24 100461
15 25 68463
15 26 56389
15 27 96722
15 28 70824
15 29 64068
15 30 76487
15 31 80565
15 32 30058
15 33 87742
15 34 42960
15 35 120466
15 36 42764
15 37 105585
15 38 159807
15 39 96301
15 40 32079
15 41 75243
15 42 33504
16 17 125038
16 18 154312
16 19 179926
16 20 159161
16 22 138126
16 23 135489
16 24 147552
16 25 127926
16 26 115852
16 27 141703
16 28 117915
16 29 135966
16 30 121468
16 31 26642
16 32 77149
16 33 84499
16 34 114858
16 35 175812
16 36 89855
16 37 212792
16 38 204788
16 39 168199
16 40 134154
16 41 104084
16 42 140711
17 18 125440
17 19 96805
17 20 124433
17 21 113687
17 22 102420
17 23 97234
17 24 72004
17 25 59527
17 26 47453
17 28 79660
17 30 91964
17 31 98396
17 32 64306
17 33 78806
17 34 26732
17 35 50774
17 36 51600
17 37 153111
17 38 172640
17 39 80073
17 40 101771
17 41 20954
17 42 103196
18 19 168884
18 20 112477
18 21 108338
18 22 137553
18 23 139149
18 24 151212
18 25 94078
18 26 106152
18 27 137681
18 28 65455
18 29 155320
18 30 152650
18 31 156728
18 32 106221
18 33 137505
18 34 134212
18 35 74666
18 36 93515
18 37 155787
18 38 235970
18 40 123331
18 41 132651
19 20 167774
19 21 60546
19 22 170869
19 23 156921
19 24 153573
19 25 138854
19 26 126780
19 27 132802
19 28 150658
19 29 91181
19 30 135305
19 31 153284
19 32 109892
19 33 95427
19 34 70073
19 35 147579
19 36 122598
19 37 56306
19 38 172421
19 39 16732
19 40 145112
19 41 117759
19 42 146537
20 21 168682
20 22 136628
20 23 64624
20 24 166722
20 25 120452
20 26 108378
20 27 134094
20 28 137085
20 29 118809
20 30 142748
20 32 96319
20 33 133801
20 34 97701
20 35 73741
20 36 109025
20 37 197700
20 38 226068
20 39 151042
20 40 124194
20 41 104233
20 42 125619
21 23 152542
21 24 146805
21 25 78308
21 26 66234
21 27 120123
21 28 146279
21 29 72989
21 30 130926
21 31 92738
21 32 105513
21 33 34881
21 34 94097
21 35 164461
21 36 118219
21 37 116852
21 38 172096
21 39 77278
21 40 109887
21 41 92733
21 42 156127
22 24 131380
22 25 114014
22 26 101940
22 28 101743
22 29 121904
22 30 107406
22 31 111484
22 32 60977
22 33 131609
22 34 100796
22 35 62887
